# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSG00000286040	ENSG00000286040	ENST00000652296		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286041	ENSG00000286041	ENST00000826876		0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ENSG00000286043	ENSG00000286043	ENST00000651263		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286044	ENSG00000286044	ENST00000652518		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSG00000286046	ENSG00000286046	ENST00000767385		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286052	ENSG00000286052	ENST00000652193		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000286059	ENSG00000286059	ENST00000652241		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286062	ENSG00000286062	ENST00000849051		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286063	ENSG00000286063	ENST00000651871		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286066	ENSG00000286066	ENST00000652265		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286068	ENSG00000286068	ENST00000651100		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286069	ENSG00000286069	ENST00000656247		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286073	ENSG00000286073	ENST00000650679	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286074	ENSG00000286074	ENST00000651366		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286076	ENSG00000286076	ENST00000848657		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286078	ENSG00000286078	ENST00000652329		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286081	ENSG00000286081	ENST00000652679		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286083	ENSG00000286083	ENST00000720457		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000286098	ENSG00000286098	ENST00000652448	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286099	ENSG00000286099	ENST00000651539		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286101	ENSG00000286101	ENST00000795009		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286110	ENSG00000286110	ENST00000651136		0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
ENSG00000286114	ENSG00000286114	ENST00000652317	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286117	ENSG00000286117	ENST00000801344		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286121	ENSG00000286121	ENST00000651690		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286128	ENSG00000286128	ENST00000652461		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286132	ENSG00000286132	ENST00000651606	nonsense_mediated_decay	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000286143	ENSG00000286143	ENST00000412982	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286145	ENSG00000286145	ENST00000651019		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286147	ENSG00000286147	ENST00000650850		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSG00000286150	ENSG00000286150	ENST00000652064		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286162	ENSG00000286162	ENST00000661858		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSG00000286167	ENSG00000286167	ENST00000650778		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286176	ENSG00000286176	ENST00000650929		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286182	ENSG00000286182	ENST00000651494		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286186	ENSG00000286186	ENST00000651685		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286188	ENSG00000286188	ENST00000652635		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000286191	ENSG00000286191	ENST00000652118		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286192	ENSG00000286192	ENST00000651235	nonsense_mediated_decay	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ENSG00000286195	ENSG00000286195	ENST00000651475		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286198	ENSG00000286198	ENST00000652300		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286208	ENSG00000286208	ENST00000652012		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ENSG00000286211	ENSG00000286211	ENST00000652642		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286216	ENSG00000286216	ENST00000652491		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286218	ENSG00000286218	ENST00000658087		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000286221	ENSG00000286221	ENST00000650780	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286225	ENSG00000286225	ENST00000651680		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSG00000286229	ENSG00000286229	ENST00000650710		0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	1
ENSG00000286235	ENSG00000286235	ENST00000652720	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000286238	ENSG00000286238	ENST00000651142		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286239	ENSG00000286239	ENST00000650969	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286242	ENSG00000286242	ENST00000652530		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286248	ENSG00000286248	ENST00000652651		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286250	ENSG00000286250	ENST00000652426		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286251	ENSG00000286251	ENST00000661809		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286256	ENSG00000286256	ENST00000651765		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286257	ENSG00000286257	ENST00000716854		0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0
ENSG00000286258	ENSG00000286258	ENST00000652438		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000286263	ENSG00000286263	ENST00000651370		0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ENSG00000286271	ENSG00000286271	ENST00000653383		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286272	ENSG00000286272	ENST00000651076		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000286274	ENSG00000286274	ENST00000665595		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286277	ENSG00000286277	ENST00000729917		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286278	ENSG00000286278	ENST00000661132		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286279	ENSG00000286279	ENST00000661804		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000286283	ENSG00000286283	ENST00000656225		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286288	ENSG00000286288	ENST00000671643		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286289	ENSG00000286289	ENST00000658845		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286290	ENSG00000286290	ENST00000669555		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000286294	ENSG00000286294	ENST00000657862		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286300	ENSG00000286300	ENST00000667035		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286313	ENSG00000286313	ENST00000808849		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286316	ENSG00000286316	ENST00000657577		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286320	ENSG00000286320	ENST00000661355		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286321	ENSG00000286321	ENST00000742923		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286333	ENSG00000286333	ENST00000656476		0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ENSG00000286335	ENSG00000286335	ENST00000654444		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286338	ENSG00000286338	ENST00000654003		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286345	ENSG00000286345	ENST00000657948		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286346	ENSG00000286346	ENST00000666587		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286348	ENSG00000286348	ENST00000671242		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286353	ENSG00000286353	ENST00000666932		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSG00000286356	ENSG00000286356	ENST00000669214		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286364	ENSG00000286364	ENST00000661640		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286368	ENSG00000286368	ENST00000663029		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286369	ENSG00000286369	ENST00000770004		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286371	ENSG00000286371	ENST00000671296		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286372	ENSG00000286372	ENST00000656270		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286376	ENSG00000286376	ENST00000659664		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286377	ENSG00000286377	ENST00000671652		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286379	ENSG00000286379	ENST00000657488		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286383	ENSG00000286383	ENST00000745313		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286385	ENSG00000286385	ENST00000663739		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSG00000286386	ENSG00000286386	ENST00000667795		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286387	ENSG00000286387	ENST00000670823		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286389	ENSG00000286389	ENST00000654998		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286391	ENSG00000286391	ENST00000820229		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286393	ENSG00000286393	ENST00000662299		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000286396	ENSG00000286396	ENST00000661929	unprocessed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286401	ENSG00000286401	ENST00000657992		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000286402	ENSG00000286402	ENST00000668912		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286416	ENSG00000286416	ENST00000662529		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286417	ENSG00000286417	ENST00000811308		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286418	ENSG00000286418	ENST00000669753		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286422	ENSG00000286422	ENST00000662407		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286425	ENSG00000286425	ENST00000665522		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286427	ENSG00000286427	ENST00000657078		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286432	ENSG00000286432	ENST00000658670		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286438	ENSG00000286438	ENST00000664029		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286451	ENSG00000286451	ENST00000798962		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000286454	ENSG00000286454	ENST00000662665		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286455	ENSG00000286455	ENST00000663274		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286456	ENSG00000286456	ENST00000686440		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286458	ENSG00000286458	ENST00000665703		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSG00000286461	ENSG00000286461	ENST00000671644		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286474	ENSG00000286474	ENST00000799779		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286476	ENSG00000286476	ENST00000667988		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286481	ENSG00000286481	ENST00000655733		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286490	ENSG00000286490	ENST00000667708		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286491	ENSG00000286491	ENST00000664614		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286493	ENSG00000286493	ENST00000836863		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286495	ENSG00000286495	ENST00000668662		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286500	ENSG00000286500	ENST00000658686		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000286512	ENSG00000286512	ENST00000657544		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286514	ENSG00000286514	ENST00000809006		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000286517	ENSG00000286517	ENST00000478313		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286521	ENSG00000286521	ENST00000656758		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286525	ENSG00000286525	ENST00000701432		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286526	ENSG00000286526	ENST00000661178		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286529	ENSG00000286529	ENST00000660707		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286530	ENSG00000286530	ENST00000653962		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286531	ENSG00000286531	ENST00000776084		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286533	ENSG00000286533	ENST00000656085		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000286536	ENSG00000286536	ENST00000666856		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286538	ENSG00000286538	ENST00000657512		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286539	ENSG00000286539	ENST00000665990		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286541	ENSG00000286541	ENST00000660854		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286547	ENSG00000286547	ENST00000663086		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286548	ENSG00000286548	ENST00000662176		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286549	ENSG00000286549	ENST00000770704		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286553	ENSG00000286553	ENST00000657099		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286556	ENSG00000286556	ENST00000669717		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286561	ENSG00000286561	ENST00000667219		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286567	ENSG00000286567	ENST00000655435		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286568	ENSG00000286568	ENST00000660274		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286570	ENSG00000286570	ENST00000669501		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286573	ENSG00000286573	ENST00000670784		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286576	ENSG00000286576	ENST00000661347		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286577	ENSG00000286577	ENST00000657563		0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000286578	ENSG00000286578	ENST00000655715		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286582	ENSG00000286582	ENST00000667623		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000286584	ENSG00000286584	ENST00000673748		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286587	ENSG00000286587	ENST00000655028		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286605	ENSG00000286605	ENST00000657542		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286610	ENSG00000286610	ENST00000783527		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286612	ENSG00000286612	ENST00000661177		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286613	ENSG00000286613	ENST00000655972		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286615	ENSG00000286615	ENST00000660668		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286616	ENSG00000286616	ENST00000661805		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286629	ENSG00000286629	ENST00000660893		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286635	ENSG00000286635	ENST00000665170		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286636	ENSG00000286636	ENST00000671592		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286637	ENSG00000286637	ENST00000663126		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286640	ENSG00000286640	ENST00000665468	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286642	ENSG00000286642	ENST00000671274		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286643	ENSG00000286643	ENST00000653041		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286645	ENSG00000286645	ENST00000671429		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286652	ENSG00000286652	ENST00000663193		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286653	ENSG00000286653	ENST00000661512		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286655	ENSG00000286655	ENST00000664793		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000286664	ENSG00000286664	ENST00000666578		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286682	ENSG00000286682	ENST00000665042		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286683	ENSG00000286683	ENST00000656148		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286689	ENSG00000286689	ENST00000655579		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286690	ENSG00000286690	ENST00000659143		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286691	ENSG00000286691	ENST00000823409		0	0	0	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0
ENSG00000286693	ENSG00000286693	ENST00000655061		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286696	ENSG00000286696	ENST00000662636		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286701	ENSG00000286701	ENST00000659800		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286710	ENSG00000286710	ENST00000659509		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000286717	ENSG00000286717	ENST00000667151		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286719	ENSG00000286719	ENST00000657178		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286720	ENSG00000286720	ENST00000658268		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286725	ENSG00000286725	ENST00000812175		0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ENSG00000286728	ENSG00000286728	ENST00000652791		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286731	ENSG00000286731	ENST00000759262		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286735	ENSG00000286735	ENST00000659560		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286736	ENSG00000286736	ENST00000732556		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286738	ENSG00000286738	ENST00000666999		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286741	ENSG00000286741	ENST00000657349		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286745	ENSG00000286745	ENST00000666304		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286748	ENSG00000286748	ENST00000653275		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286749	ENSG00000286749	ENST00000663819		0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ENSG00000286750	ENSG00000286750	ENST00000654027		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286752	ENSG00000286752	ENST00000671460		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286756	ENSG00000286756	ENST00000689737		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000286757	ENSG00000286757	ENST00000670575		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286759	ENSG00000286759	ENST00000662219		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000286763	ENSG00000286763	ENST00000666058		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286764	ENSG00000286764	ENST00000665027		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286769	ENSG00000286769	ENST00000669817		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286770	ENSG00000286770	ENST00000764201		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286772	ENSG00000286772	ENST00000758016		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286773	ENSG00000286773	ENST00000661074		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286776	ENSG00000286776	ENST00000664735		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286777	ENSG00000286777	ENST00000668805		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286780	ENSG00000286780	ENST00000669705		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000286781	ENSG00000286781	ENST00000662277		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000286784	ENSG00000286784	ENST00000664015		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000286790	ENSG00000286790	ENST00000821200		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000286802	ENSG00000286802	ENST00000654891		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286810	ENSG00000286810	ENST00000652874		0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	1
ENSG00000286812	ENSG00000286812	ENST00000666417		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000286823	ENSG00000286823	ENST00000655511		1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000286828	ENSG00000286828	ENST00000654632		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286834	ENSG00000286834	ENST00000654577		0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
ENSG00000286836	ENSG00000286836	ENST00000657931		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000286838	ENSG00000286838	ENST00000666986		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
